Name,batter,xRA_100
Bryce Harper,547180,6.207512520868114
Juan Soto,665742,8.642201834862384
Vladimir Guerrero Jr.,665489,7.552005730659025
Ronald Acuna Jr.,660670,7.266388888888891
Brandon Belt,474832,4.754593175853018
Jesse Winker,608385,6.271546391752576
Fernando Tatis Jr.,665487,3.9247252747252737
Yasmani Grandal,518735,7.704533333333334
Shohei Ohtani,660271,4.332081377151802
Kyle Schwarber,656941,4.747558386411891
Joey Votto,458015,7.494183864915574
Nick Castellanos,592206,4.346324786324787
Corey Seager,608369,6.8176039119804415
Aaron Judge,592450,5.821800947867299
Trea Turner,607208,2.4712074303405567
Bryan Reynolds,668804,4.398142414860682
Ketel Marte,606466,3.9898395721925146
Darin Ruf,573131,4.4304487179487175
Tyler O'Neill,641933,1.9312849162011183
C.J. Cron,543068,1.9140767824497245
Kyle Tucker,663656,7.302292768959435
George Springer,543807,4.261988304093569
Austin Riley,663586,2.2223564954682793
Freddie Freeman,518692,6.98935251798561
Buster Posey,457763,3.936563876651982
Max Muncy,571970,7.351689189189189
Matt Olson,621566,5.956463595839525
Brandon Crawford,543063,4.0185792349726785
A.J. Pollock,572041,4.299052132701423
Paul Goldschmidt,502671,5.508836524300443
Rafael Devers,646240,3.7340361445783143
Jose Ramirez,608070,5.233490566037738
Cedric Mullins II,656775,1.914666666666667
Giancarlo Stanton,519317,2.6639032815198624
Yordan Alvarez,670541,5.298996655518396
Brandon Nimmo,607043,3.0562176165803105
Teoscar Hernandez,606192,2.7895798319327754
Xander Bogaerts,593428,3.6799336650082912
Marcus Semien,543760,4.611464088397791
Mookie Betts,605141,4.661818181818182
Rhys Hoskins,656555,4.19277652370203
Starling Marte,516782,0.4726235741444882
J.D. Martinez,502110,4.3542586750788645
Will Smith,669257,4.976846307385229
Carlos Correa,621043,3.3945312500000004
Brandon Lowe,664040,1.9178861788617896
Yuli Gurriel,493329,3.31107438016529
Jonathan India,663697,1.6903328050713158
Pete Alonso,624413,4.008320251177393
Salvador Perez,521692,3.762857142857143
Mike Zunino,572287,-0.20239999999999964
Justin Turner,457759,4.943954248366014
Jared Walsh,665120,-0.119145299145299
Jose Altuve,514888,2.273746312684367
Kris Bryant,592178,2.3643344709897627
Rafael Ortega,542364,0.5815151515151528
